Paper,Organism,Raw data avilable on DRYAD,Gmatrix,cormatrix,directory,data link,Reference,Taxon1,Taxon2,Title,Pmatrix,Means,Paper Link,full reference,Email,
Kim2010,Taeniopygia.guttata,0,1,1,NA,NA,Kim.et.al.2010,V,A,GENETIC CORRELATION BETWEEN RESISTANCE TO OXIDATIVE STRESS AND REPRODUCTIVE LIFE SPAN IN A BIRD SPECIES,1,1,10.1111/j.1558-5646.2009.00862.x,"Kim, S., Velando, A., Sorci, G. & Alonso-Alvarez, C. 2010, ""GENETIC CORRELATION BETWEEN RESISTANCE TO OXIDATIVE STRESS AND REPRODUCTIVE LIFE SPAN IN A BIRD SPECIES"", Evolution, vol. 64, no. 3, pp. 852-857.",NA,
Kin2004,Pieris.rapae,0,0,1,NA,NA,Kingsolver.et.al.2004*,I,A,QUANTITATIVE GENETICS OF CONTINUOUS REACTION NORMS: THERMAL SENSITIVITY OF CATERPILLAR GROWTH RATES,0,0,10.1554/03-557,"Kingsolver, J.G., Ragland, G.J. & Shlichta, J.G. 2004, ""QUANTITATIVE GENETICS OF CONTINUOUS REACTION NORMS: THERMAL SENSITIVITY OF CATERPILLAR GROWTH RATES"", Evolution, vol. 58, no. 7, pp. 1521-1529.",NA,
Kin2006,Pieris.rapae,0,0,1,NA,NA,Kingsolver.et.al.2006.EvoEcoRes,P,P,Thermal reaction norms for caterpillar growth depend on diet,0,0,0,"(MLA) Kingsolver, Joel G., et al. ""Thermal reaction norms for caterpillar growth depend on diet."" Evolutionary Ecology Research 8.4 (2006): 703-715.",NA,
Kra2006,Rana.lessonae,0,1,1,NA,NA,Kraft.et.al.2006,V,A,Substantial changes in the genetic basis of tadpole morphology of Rana lessonae in the presence of predators,0,1,10.1111/j.1420-9101.2006.01185.x,"Kraft, P.G., Wilson, R.S., Franklin, C.E. & Blows, M.W. 2006, ""Substantial changes in the genetic basis of tadpole morphology of Rana lessonae in the presence of predators"", Journal of Evolutionary Biology, vol. 19, no. 6, pp. 1813-1818.",NA,
Kum2007,lowland.rice,0,1,1,NA,NA,Kumar.et.al.2007,P,P,Genetic analysis of rainfed lowland rice drought tolerance under naturally-occurring stress in eastern India: Heritability and QTL effects,0.5,1,Genetic analysis of rainfed lowland rice drought tolerance under naturally-occurring stress in eastern India: Heritability and QTL effects,"Kumar, R., Venuprasad, R. & Atlin, G.N. 2007, ""Genetic analysis of rainfed lowland rice drought tolerance under naturally-occurring stress in eastern India: Heritability and QTL effects"", Field Crops Research, vol. 103, no. 1, pp. 42-52.",NA,
Len2003,Phlox.drummondii,0,0,1,NA,NA,Lendvai.Levin.2003.Her,P,P,Rapid response to artificial selection on flower size in Phlox,1,1,10.1038/sj.hdy.6800249,"Lendvai, G. & Levin, D.A. 2003, ""Rapid response to artificial selection on flower size in Phlox"", Heredity, vol. 90, no. 4, pp. 336-342.",NA,
McD2005,Ceratodon.purpureus,0,0,1,NA,NA,McDaniel.2005.Evo,P,P,GENETIC CORRELATIONS DO NOT CONSTRAIN THE EVOLUTION OF SEXUAL DIMORPHISM IN THE MOSS CERATODON PURPUREUS,0.5,1,10.1554/05-381.1,"McDaniel, S.F. 2005, ""GENETIC CORRELATIONS DO NOT CONSTRAIN THE EVOLUTION OF SEXUAL DIMORPHISM IN THE MOSS CERATODON PURPUREUS"", Evolution, vol. 59, no. 11, pp. 2353-2361.",NA,
McG2005,Melanotaenia.duboulayi,0,0,1,NA,NA,McGuigan.et.al.2005,V,A,Phenotypic divergence along lines of genetic variance,0,0,10.1086/426600,"McGuigan, K., Chenoweth, S.F. & Blows, M.W. 2005, ""Phenotypic divergence along lines of genetic variance"", The American Naturalist, vol. 165, no. 1, pp. 32-43.",NA,
McG2006,Melanotaenia.eachamensis,0,0,1,NA,NA,McGuigan.2006.MolEco,V,A,Studying phenotypic evolution using multivariate quantitative genetics,0,0,10.1111/j.1365-294X.2006.02809.x,"McGuigan, K. 2006, ""Studying phenotypic evolution using multivariate quantitative genetics"", Molecular ecology, vol. 15, no. 4, pp. 883-896.",NA,
McG2007,Drosophila.bunnanda,0,0,1,NA,NA,McGuigan.Blows.2007.Evo,I,A,THE PHENOTYPIC AND GENETIC COVARIANCE STRUCTURE OF DROSPHILID WINGS,1,0,10.1111/j.1558-5646.2007.00078.x,"McGuigan, K. & Blows, M.W. 2007, ""THE PHENOTYPIC AND GENETIC COVARIANCE STRUCTURE OF DROSPHILID WINGS"", Evolution, vol. 61, no. 4, pp. 902-911.",NA,
McG2008,Drosophila.bunnanda,0,0,1,NA,NA,McGuigan.et.al.2008.AmNat,I,A,Genetic Analysis of Female Preference Functions as FunctionÅ]Valued Traits,0,0,10.1086/588075,"McGuigan, K., Van Homrigh, A. & Blows, M.W. 2008, ""Genetic Analysis of Female Preference Functions as FunctionÅ]Valued Traits"", The American Naturalist, vol. 172, no. 2, pp. 194-202.",NA,
Mer1993,Ficedula.albicollis,0,1,1,NA,NA,Merila.Gustafsson.1993.Her,V,A,"Foster parent experiment reveals no genotype-environment correlation in the external morphology of Ficedula albicollis, the collared flycatcher",0,0,10.1038/hdy.1994.111,"Gustafsson, L. & Meril‰, J. 1994, ""Foster parent experiment reveals no genotype-environment correlation in the external morphology of Ficedula albicollis, the collared flycatcher"", Heredity, vol. 73, no. 2, pp. 124-129.",NA,
Mer1994,Ficedula.albicollis,0,0,1,NA,NA,Merila.et.al.1994.BJLS,V,A,Evolution of morphological differences with moderate genetic correlations among traits as exemplified by two flycatcher species ( Ficedula; Muscicapidae),0,1,10.1006/bijl.1994.1036,"Merila, J., Bjorklund, M., Gustafsson, L., Institutionen for evolutionsbiologi, Uppsala universitet, Biologiska sektionen & Teknisk-naturvetenskapliga vetenskapsomradet 1994, ""Evolution of morphological differences with moderate genetic correlations among traits as exemplified by two flycatcher species ( Ficedula; Muscicapidae)"", Biological Journal of the Linnean Society, vol. 52, no. 1, pp. 19-30.",NA,
Mer1996,Ficedula.albicollis,0,1,1,NA,NA,Merila.Gustafsson.1996.Her,V,A,Temporal stability and microgeographic homogeneity of heritability estimates in a natural bird population,0,1,10.1093/oxfordjournals.jhered.a022985,"Merila, J. & Gustafsson, L. 1996, ""Temporal stability and microgeographic homogeneity of heritability estimates in a natural bird population"", The Journal of Heredity [H.W.Wilson - GS], vol. 87, pp. 199.",NA,
Mil2000,Ovis.aries,0,0,1,NA,NA,Milner.et.al.2000.JEB,V,A,Estimating variance components and heritabilities in the wild: a case study using the Åeanimal modelÅf approach,1,1,10.1046/j.1420-9101.2000.00222.x,"Milner, Pemberton, Brotherstone & Albon 2000, ""Estimating variance components and heritabilities in the wild: a case study using the Åeanimal modelÅf approach"", Journal of Evolutionary Biology, vol. 13, no. 5, pp. 804-813.",NA,
Mit1993,Penstemon.centranthifolius,0,1,1,NA,NA,Mitchell.Shaw.1993.Her,P,P,Heritability of floral traits for the perennial wild flower Penstemon centranthifolius (Scrophulariaceae): clones and crosses,1,1,10.1038/hdy.1993.123,"Mitchell, R.J. & Shaw, R.G. 1993, ""Heritability of floral traits for the perennial wild flower Penstemon centranthifolius (Scrophulariaceae): clones and crosses"", Heredity, vol. 71, no. 2, pp. 185-192.",NA,
Mit1998,Penstemon.centranthifolius,0,0,1,NA,NA,Mitchell.et.al.1998.IJPS,P,P,"Pollinator Selection, Quantitative Genetics, and Predicted Evolutionary Responses of Floral Traits in Penstemon centranthifolius (Scrophulariaceae)",0,0,10.1086/297554,"Mitchell, R.J., Shaw, R.G. & Waser, N.M. 1998, ""Pollinator Selection, Quantitative Genetics, and Predicted Evolutionary Responses of Floral Traits in Penstemon centranthifolius (Scrophulariaceae)"", International journal of plant sciences, vol. 159, no. 2, pp. 331-337.",NA,
Moo2004,Nauphoeta.cinerea,0,1,1,NA,NA,Moore.et.al.2004.Evo,I,A,CONSTRAINTS ON EVOLUTION AND POSTCOPULATORY SEXUAL SELECTION: TRADE-OFFS AMONG EJACULATE CHARACTERISTICS,1,1,10.1554/04-116,"Moore, P.J., Harris, W.E., Montrose, V.T., Levin, D. & Moore, A.J. 2004, ""CONSTRAINTS ON EVOLUTION AND POSTCOPULATORY SEXUAL SELECTION: TRADE-OFFS AMONG EJACULATE CHARACTERISTICS"", Evolution, vol. 58, no. 8, pp. 1773-1780.",NA,
Muh1996,Scathophaga.stercoraria,0,0,1,NA,NA,Muhlhauser.et.al.1996.AB,I,A,The genetic component of copula duration in the yellow dung fly,1,1,10.1006/anbe.1996.0143,"MUHLHAUSER, C., BLANCKENHORN, W.U. & WARD, P.I. 1996, ""The genetic component of copula duration in the yellow dung fly"", Animal Behaviour, vol. 51, no. 6, pp. 1401-1407.",NA,
Nes2005,Phyllotis.darwini,0,1,1,NA,NA,Nespolo.et.al.2005,V,A,"QUANTITATIVE GENETICS OF BIOENERGETICS AND GROWTH-RELATED TRAITS IN THE WILD MAMMAL, PHYLLOTIS DARWINI",1,1,10.1554/04-408.1,"Nespolo, R.F., Bustamante, D.M., Bacigalupe, L.D. & Bozinovic, F. 2005, ""QUANTITATIVE GENETICS OF BIOENERGETICS AND GROWTH-RELATED TRAITS IN THE WILD MAMMAL, PHYLLOTIS DARWINI"", Evolution, vol. 59, no. 8, pp. 1829-1837.",NA,
Nor1997,Drosophila.buzzatii,0,0,1,NA,NA,Norry.et.al.1997.Genetica,I,A,"Genetic and phenotypic correlations among size-related traits, and heritability variation between body parts in Drosophila buzzatii",1,1,10.1023/A:1018360804439,"Norry, F.M., Vilardi, J.C. & Hasson, E. 1997, ""Genetic and phenotypic correlations among size-related traits, and heritability variation between body parts in Drosophila buzzatii"", Genetica, vol. 101, no. 2, pp. 131-139.",NA,
Nor2000,Drosophila.buzzatii,0,0,1,NA,NA,Norry.et.al.2000.Her,I,A,"Negative genetic correlation between traits of the Drosophila head, and interspecific divergence in head shape",1,1,10.1046/j.1365-2540.2000.00735.x,"Norry, F.M., Vilardi, J.C. & Hasson, E. 2000, ""Negative genetic correlation between traits of the Drosophila head, and interspecific divergence in head shape"", Heredity, vol. 85 ( Pt 2), no. 2, pp. 177-183.",NA,
Par2005,Gallus.gallus,0,0,1,NA,NA,Parker.Garant.2005.JEB,V,A,Quantitative genetics of sexually dimorphic traits and capture of genetic variance by a sexually-selected condition-dependent ornament in red junglefowl (Gallus gallus),1,1,10.1111/j.1420-9101.2004.00769.x,"Parker, T.H. & Garant, D. 2004, ""Quantitative genetics of sexually dimorphic traits and capture of genetic variance by a sexually-selected condition-dependent ornament in red junglefowl (Gallus gallus)"", Journal of Evolutionary Biology, vol. 17, no. 6, pp. 1277-1285.",NA,
Pet2005,Drosophila.serrata,0,0,1,NA,NA,Petfield.et.al.2005.PNAS,I,A,Genetic Variance in Female Condition Predicts Indirect Genetic Variance in Male Sexual Display Traits,0,0,10.1073/pnas.0409378102,"Petfield, D., Chenoweth, S.F., Rundle, H.D., Blows, M.W. & Avise, J.C. 2005, ""Genetic Variance in Female Condition Predicts Indirect Genetic Variance in Male Sexual Display Traits"", Proceedings of the National Academy of Sciences of the United States of America, vol. 102, no. 17, pp. 6045-6050.",NA,
Phi1998,Rana.sylvatica,0,1,1,NA,NA,Phillips.1998.JEB,V,A,"Genetic constraints at the metamorphic boundary: Morphological development in the wood frog, Rana sylvatica",1,1,10.1046/j.1420-9101.1998.11040453.x,"Phillips, P.C. 1998, ""Genetic constraints at the metamorphic boundary: Morphological development in the wood frog, Rana sylvatica"", Journal of Evolutionary Biology, vol. 11, no. 4, pp. 453-463.",NA,
Phi2001,Drosophila.melanogaster,0,0,1,NA,NA,Phillips.et.al.2001,I,A,Inbreeding Changes the Shape of the Genetic Covariance Matrix in Drosophila melanogaster,0.5,0,,"Phillips, P.C., Whitlock, M.C. & Fowler, K. 2001, ""Inbreeding Changes the Shape of the Genetic Covariance Matrix in Drosophila melanogaster"", Genetics, vol. 158, no. 3, pp. 1137-1145.",NA,
Pod1997,Clarkia.dudleyana,0,1,1,NA,NA,Podolsky.et.al.1997.Evo,P,P,Population Structure of Morphological Traits in Clarkia dudleyana. II. Constancy of Within-Population Genetic Variance,0.5,0,http://www.jstor.org/stable/2411001,"Podolsky, R.H., Shaw, F.H. & Shaw, R.G. 1997, ""Population Structure of Morphological Traits in Clarkia dudleyana. II. Constancy of Within-Population Genetic Variance"", Evolution, vol. 51, no. 6, pp. 1785-1796.",NA,
Pol2004,Drosophila.bipectinata,0,0,1,NA,NA,Polak.et.al.2004.Evo,I,A,SEXUAL SELECTION FOR SIZE AND SYMMETRY IN A DIVERSIFYING SECONDARY SEXUAL CHARACTER IN DROSOPHILA BIPECTINATA DUDA (DIPTERA: DROSOPHILIDAE),1,1,10.1554/03-459,"Polak, M., Starmer, W.T. & Wolf, L.L. 2004, ""SEXUAL SELECTION FOR SIZE AND SYMMETRY IN A DIVERSIFYING SECONDARY SEXUAL CHARACTER IN DROSOPHILA BIPECTINATA DUDA (DIPTERA: DROSOPHILIDAE)"", Evolution, vol. 58, no. 3, pp. 597-607.",NA,
Pre1998,Aquarius.remigis,0,0,1,NA,NA,Preziosi.Roff.1998.Her,I,A,Evidence of genetic isolation between sexually monomorphic and sexually dimorphic traits in the water strider Aquarius remigis,1,0,10.1046/j.1365-2540.1998.00380.x,"Preziosi, R.F. & Roff, D.A. 1998, ""Evidence of genetic isolation between sexually monomorphic and sexually dimorphic traits in the water strider Aquarius remigis"", Heredity, vol. 81, no. 1, pp. 92-99.",NA,
Rau2002,Nicrophorus.pustulatus,0,0,1,NA,NA,Rauter.Moore.2002.Evo,I,A,QUANTITATIVE GENETICS OF GROWTH AND DEVELOPMENT TIME IN THE BURYING BEETLE NICROPHORUS PUSTULATUS IN THE PRESENCE AND ABSENCE OF POST-HATCHING PARENTAL CARE,1,0.5,10.1554/0014-3820(2002)056[0096:QGOGAD]2.0.CO;2,"Rauter, C.M. & Moore, A.J. 2002, ""QUANTITATIVE GENETICS OF GROWTH AND DEVELOPMENT TIME IN THE BURYING BEETLE NICROPHORUS PUSTULATUS IN THE PRESENCE AND ABSENCE OF POST-HATCHING PARENTAL CARE"", Evolution, vol. 56, no. 1, pp. 96-110.",NA,
Rea2000,Ovis.canadiensis,0,0,1,NA,NA,Reale.Festa-Bianchet.2000.Her,V,A,Quantitative genetics of life-history traits in a long-lived wild mammal,1,1,10.1046/j.1365-2540.2000.00795.x,"Reale, D. & Festa-Bianchet, M. 2000, ""Quantitative genetics of life-history traits in a long-lived wild mammal"", Heredity, vol. 85, no. 6, pp. 593-603.",NA,
Rea2002,Gryllus.firmus,0,0,1,NA,NA,Reale.Roff.2002.AB,I,A,Quantitative genetics of oviposition behaviour and interactions among oviposition traits in the sand cricket,1,1,10.1006/anbe.2002.3084,"Reale, D. & Roff, D.A. 2002, ""Quantitative genetics of oviposition behaviour and interactions among oviposition traits in the sand cricket"", Animal Behaviour, vol. 64, no. 3, pp. 397-406.",NA,
Rel2005,Rana.sylvatica,0,0,1,NA,NA,Relyea.2005.JEB,V,A,The heritability of inducible defenses in tadpoles,0.5,0,10.1111/j.1420-9101.2005.00882.x,"Relyea, R.A. 2005, ""The heritability of inducible defenses in tadpoles"", Journal of Evolutionary Biology, vol. 18, no. 4, pp. 856-866.",NA,
Rob2009,Ovis.aries,0,1,1,NA,NA,Robinson.et.al.2009,V,A,The Impact of Environmental Heterogeneity on Genetic Architecture in a Wild Population of Soay Sheep,0,1,10.1534/genetics.108.086801,"Robinson, M.R., Wilson, A.J., Pilkington, J.G., Clutton-Brock, T.H., Pemberton, J.M. & Kruuk, L.E.B. 2009; 2008, ""The Impact of Environmental Heterogeneity on Genetic Architecture in a Wild Population of Soay Sheep"", Genetics, vol. 181, no. 4, pp. 1639-1648.",NA,
Rod2003,Achroia.grisella,0,0,1,NA,NA,Rodriguez.Greenfield.2003.Evo,I,A,GENETIC VARIANCE AND PHENOTYPIC PLASTICITY IN A COMPONENT OF FEMALE MATE CHOICE IN AN ULTRASONIC MOTH,1,1,10.1554/02-446,"Rodriguez, R.L. & Greenfield, M.D. 2003, ""GENETIC VARIANCE AND PHENOTYPIC PLASTICITY IN A COMPONENT OF FEMALE MATE CHOICE IN AN ULTRASONIC MOTH"", Evolution, vol. 57, no. 6, pp. 1304-1313.",NA,
Rof1999,Allonemobius.socius,0,0,1,NA,NA,Roff.Mousseau.1999,I,A,Does natural selection alter genetic architecture? An evaluation of quantitative genetic variation among populations of Allonemobius socius and A. fasciatus,0,0,10.1046/j.1420-9101.1999.00036.x,"Roff, D. & Mousseau, T. 1999, ""Does natural selection alter genetic architecture? An evaluation of quantitative genetic variation among populations of Allonemobius socius and A. fasciatus"", Journal of Evolutionary Biology, vol. 12, no. 2, pp. 361-369.",NA,
Rof2004,Hirundo.rustica,0,0,1,NA,NA,Roff.et.al.2004,V,A,Geographic variation in the G matrices of wild populations of the barn swallow,0.5,0,10.1038/sj.hdy.6800404,"Roff, D.A., Mousseau, T., Moller, A.P., de Lope, F. & Saino, N. 2004, ""Geographic variation in the G matrices of wild populations of the barn swallow"", Heredity, vol. 93, no. 1, pp. 8-14.",NA,
Ron2000,Allium.vineale,0,0,1,NA,NA,Ronsheim.Bever.2000.AJB,P,P,Genetic variation and evolutionary trade-offs for sexual and asexual reproductive modes in Allium vineale (Liliaceae),0,0,10.2307/2656827,"Ronsheim, M.L. & Bever, J.D. 2000, ""Genetic variation and evolutionary trade-offs for sexual and asexual reproductive modes in Allium vineale (Liliaceae)"", American Journal of Botany, vol. 87, no. 12, pp. 1769-1777.",NA,
San2003,Encelia.farinosa,0,0,1,NA,NA,Sandquist.Ehleringer.2003.AJB,P,P,"Population- and Family-Level Variation of Brittlebush (Encelia farinosa, Asteraceae) Pubescence: Its Relation to Drought and Implications for Selection in Variable Environments",1,1,10.3732/ajb.90.10.1481,"Sandquist, D.R. & Ehleringer, J.R. 2003, ""Population- and Family-Level Variation of Brittlebush (Encelia farinosa, Asteraceae) Pubescence: Its Relation to Drought and Implications for Selection in Variable Environments"", American Journal of Botany, vol. 90, no. 10, pp. 1481-1486.",NA,
Sch1992,Gutierrezia.microcephala,0,0,1,NA,NA,Schuster.et.al.1992.AJB,P,P,Heritability of Carbon Isotope Discrimination in Gutierrezia microcephala (Asteraceae),1,1,10.2307/2445110,"Phillips, S.L., Sandquist, D.R. & Ehleringer, J.R. 1992, ""Heritability of Carbon Isotope Discrimination in Gutierrezia microcephala (Asteraceae)"", American Journal of Botany, vol. 79, no. 2, pp. 216-221.",NA,
Sek2006,Parnara.guttata.guttata,0,0,1,NA,NA,Seko.2006.PopEco,I,A,"Adaptive significance of egg size plasticity in response to temperature in the migrant skipper, Parnara guttata guttata (Lepidoptera: Hesperiidae)",0,1,10.1007/s10144-006-0253-4,"Seko, T. & Nakasuji, F. 2006, ""Adaptive significance of egg size plasticity in response to temperature in the migrant skipper, Parnara guttata guttata (Lepidoptera: Hesperiidae)"", Population Ecology, vol. 48, no. 2, pp. 159-166.",NA,
Ser2000,Drosophila.melanogaster,0,0,1,NA,NA,Service.2000.GenRes,I,A,The genetic structure of female life history in D. melanogaster: comparisons among populations,0,1,10.1017/S0016672399004322,"SERVICE, P.M. 2000, ""The genetic structure of female life history in D. melanogaster: comparisons among populations"", Genetics Research, vol. 75, no. 2, pp. 153-166.",NA,
Sgr2004,Drosophila.serrata,0,1,1,NA,NA,Sgro.Blows.2004,I,A,The Genetic Covariance Among Clinal Environments After Adaptation to an Environmental Gradient in Drosophila serrata,0,0,10.1534/genetics.103.026120,"Sgro, C.M. & Blows, M.W. 2004, ""The Genetic Covariance Among Clinal Environments After Adaptation to an Environmental Gradient in Drosophila serrata"", Genetics, vol. 167, no. 3, pp. 1281-1291.",NA,
She2003,Ficedula.albicollis,0,0,1,NA,NA,Sheldon.et.al.2003.Evo,V,A,NATURAL SELECTION AND INHERITANCE OF BREEDING TIME AND CLUTCH SIZE IN THE COLLARED FLYCATCHER,1,0,10.1554/0014-3820(2003)057[0406:NSAIOB]2.0.CO;2,"Sheldon, B.C., L. E B. Kruuk & Merila, J. 2003, ""NATURAL SELECTION AND INHERITANCE OF BREEDING TIME AND CLUTCH SIZE IN THE COLLARED FLYCATCHER"", Evolution, vol. 57, no. 2, pp. 406-420.",NA,
She2009,Avena.barbata,0,1,1,NA,NA,Sherrard.et.al.2009,P,P,Water Stress Alters the Genetic Architecture of Functional Traits Associated with Drought Adaptation in Avena barbata,0,1,10.1111/j.1558-5646.2008.00580.x,"Sherrard, M.E., Maherali, H. & Latta, R.G. 2009, ""Water Stress Alters the Genetic Architecture of Functional Traits Associated with Drought Adaptation in Avena barbata"", Evolution, vol. 63, no. 3, pp. 702-715.",NA,
Sim2004,Teleogryllus.oceanicus,0,1,1,NA,NA,Simmons.2004.AB,I,A,Genotypic variation in calling song and female preferences of the field cricket Teleogryllus oceanicus,0,1,10.1016/j.anbehav.2003.12.004,"Simmons, L.W. 2004, ""Genotypic variation in calling song and female preferences of the field cricket Teleogryllus oceanicus"", Animal Behaviour, vol. 68, no. 2, pp. 313-322.",NA,
Smi2008,Ipomoea.purpurea,0,0,1,NA,NA,Smith.Rausher.2008,P,P,Selection for Character Displacement is Constrained by the Genetic Architecture of Floral Traits in the Ivyleaf Morning Glory,0,0,10.1111/j.1558-5646.2008.00494.x,"Smith, R.A. & Rausher, M.D. 2008, ""Selection for Character Displacement is Constrained by the Genetic Architecture of Floral Traits in the Ivyleaf Morning Glory"", Evolution, vol. 62, no. 11, pp. 2829-2841.",NA,
Sta2004,Sinapsis.arvensis,0,0,1,NA,NA,Stanton.et.al.2004.AmNat,P,P,Consequences of Intraspecific Competition and Environmental Variation for Selection in the Mustard Sinapsis arvensis: Contrasting Ecological and Evolutionary Perspectives,0,0,10.1086/425331,"Stanton, M.L., Thiede, D.A. & Roy, B.A. 2004, ""Consequences of Intraspecific Competition and Environmental Variation for Selection in the Mustard Sinapsis arvensis: Contrasting Ecological and Evolutionary Perspectives"", The American Naturalist, vol. 164, no. 6, pp. 736-752.",NA,
Ste2007,Silene.latifolia,0,0,1,NA,NA,Steven.et.al.2007.Evo,P,P,"SEXUAL DIMORPHISM IN THE QUANTITATIVE-GENETIC ARCHITECTURE OF FLORAL, LEAF, AND ALLOCATION TRAITS IN SILENE LATIFOLIA",1,0,10.1111/j.1558-5646.2007.00004.x,"Steven, J.C., Delph, L.F. & Edmund D. Brodie III 2007, ""SEXUAL DIMORPHISM IN THE QUANTITATIVE-GENETIC ARCHITECTURE OF FLORAL, LEAF, AND ALLOCATION TRAITS IN SILENE LATIFOLIA"", Evolution, vol. 61, no. 1, pp. 42-57.",NA,
Str2004,Enallagma.cyathigerum,0,0,1,NA,NA,Strobbe.Stoks.2004.BJLS,P,P,Life history reaction norms to time constraints in a damselfly: differential effects on size and mass,0,0,10.1111/j.1095-8312.2004.00379.x,"STROBBE, F. & STOKS, R. 2004, ""Life history reaction norms to time constraints in a damselfly: differential effects on size and mass"", Biological Journal of the Linnean Society, vol. 83, no. 2, pp. 187-196.",NA,
van2004,Mimulus.guttatus,0,0,1,NA,NA,van.Kleunen.Ritland.2004,P,P,Predicting evolution of floral traits associated with mating system in a natural plant population,0.5,1,10.1111/j.1420-9101.2004.00787.x,"Kleunen, M. & Ritland, K. 2004, ""Predicting evolution of floral traits associated with mating system in a natural plant population"", Journal of Evolutionary Biology, vol. 17, no. 6, pp. 1389-1399.",NA,
Ven1995,Heterosperma.pinnatum,0,0,1,NA,NA,Venable.et.al.1995.AJB,P,P,Population Dynamic Consequences and Evolution of Seed Traits of Heterosperma pinnatum (Asteraceae),0,0,10.2307/2445587,"Venable, D.L., Dyreson, E. & Morales, E. 1995, ""Population Dynamic Consequences and Evolution of Seed Traits of Heterosperma pinnatum (Asteraceae)"", American Journal of Botany, vol. 82, no. 3, pp. 410-420.",NA,
Vor2005,Myzus.persicae,0,0,1,NA,NA,Vorburger.2005.Evo,I,A,POSITIVE GENETIC CORRELATIONS AMONG MAJOR LIFE-HISTORY TRAITS RELATED TO ECOLOGICAL SUCCESS IN THE APHID MYZUS PERSICAE,0,1,10.1554/04-531,"Vorburger, C. 2005, ""POSITIVE GENETIC CORRELATIONS AMONG MAJOR LIFE-HISTORY TRAITS RELATED TO ECOLOGICAL SUCCESS IN THE APHID MYZUS PERSICAE"", Evolution, vol. 59, no. 5, pp. 1006-1015.",NA,
Wal2000,Scabiosa.columbaria,0,0,1,NA,NA,Waldmann.Andersson.2000,P,P,Comparison of genetic (co)variance matrices within and between Scabiosa canescens and S. columbaria,0,0,10.1046/j.1420-9101.2000.00214.x,"Waldmann, Andersson, Biologiska institutionen, Naturvetenskap, Science, Biodiversitet, Lunds universitet, Biodiversity, Department of Biology & Lund University 2000, ""Comparison of genetic (co)variance matrices within and between Scabiosa canescens and S. columbaria"", Journal of Evolutionary Biology, vol. 13, no. 5, pp. 826-835.",NA,
Wat2001,Hyla.regilla,0,1,1,NA,NA,Watkins.2001.Evo,V,A,"A QUANTITATIVE GENETIC TEST OF ADAPTIVE DECOUPLING ACROSS METAMORPHOSIS FOR LOCOMOTOR AND LIFE-HISTORY TRAITS IN THE PACIFIC TREE FROG, HYLA REGILLA",1,1,10.1554/0014-3820(2001)055[1668:AQGTOA]2.0.CO;2,"Watkins, T.B. 2001, ""A QUANTITATIVE GENETIC TEST OF ADAPTIVE DECOUPLING ACROSS METAMORPHOSIS FOR LOCOMOTOR AND LIFE-HISTORY TRAITS IN THE PACIFIC TREE FROG, HYLA REGILLA"", Evolution, vol. 55, no. 8, pp. 1668-1677.",NA,
Whi2002,Drosophila.melanogaster,0,0,1,NA,NA,Whitlock.et.al.2002,I,A,PERSISTENCE OF CHANGES IN THE GENETIC COVARIANCE MATRIX AFTER A BOTTLENECK,0,0,10.1554/0014-3820(2002)056[1968:POCITG]2.0.CO;2,"Whitlock, M.C., Phillips, P.C. & Fowler, K. 2002, ""PERSISTENCE OF CHANGES IN THE GENETIC COVARIANCE MATRIX AFTER A BOTTLENECK"", Evolution, vol. 56, no. 10, pp. 1968-1975.",NA,
Wid2002,Brassica.cretica,0,0,1,NA,NA,Widen.et.al.2002,P,P,"Population divergence of genetic (co)variance matrices in a subdivided plant species, Brassica cretica",0,0,10.1046/j.1420-9101.2002.00465.x,"WidÈn, B., Andersson, S., Rao, G., WidÈn, M., Biologiska institutionen, Naturvetenskap, Science, Biodiversitet, Lunds universitet, Biodiversity, Department of Biology & Lund University 2002, ""Population divergence of genetic (co)variance matrices in a subdivided plant species, Brassica cretica"", Journal of Evolutionary Biology, vol. 15, no. 6, pp. 961-970.",NA,
Wil2005,Ovis.canadensis,0,1,1,NA,NA,Wilson.et.al.2005.AmNat,V,A,Ontogenetic Patterns in Heritable Variation for Body Size: Using Random Regression Models in a Wild Ungulate Population,0.5,0,10.1086/497441,"Wilson, A., Kruuk, L.†. & Coltman, D. 2005, ""Ontogenetic Patterns in Heritable Variation for Body Size: Using Random Regression Models in a Wild Ungulate Population"", The American Naturalist, vol. 166, no. 6, pp. E177-E192.",NA,
Wor2000,Eichhornia.paniculata,0,0,1,NA,NA,Worley.Barrett.2000.Evo,P,P,EVOLUTION OF FLORAL DISPLAY IN EICHHORNIA PANICULATA (PONTEDERIACEAE): DIRECT AND CORRELATED RESPONSES TO SELECTION ON FLOWER SIZE AND NUMBER,0.5,1,10.1554/0014-3820(2000)054[1533:EOFDIE]2.0.CO;2,"Worley, A.C. & Spencer C. H. Barrett 2000, ""EVOLUTION OF FLORAL DISPLAY IN EICHHORNIA PANICULATA (PONTEDERIACEAE): DIRECT AND CORRELATED RESPONSES TO SELECTION ON FLOWER SIZE AND NUMBER"", Evolution, vol. 54, no. 5, pp. 1533-1545.",NA,
